Site,Good,Bad,Completion,Bad Tags
81 cadiz_c/wells/well_1;COBRA_CDZ_HR_1H,19,2,Close,COBRA_CDZ_HR_1H/Lineheater_1/TEMPERATURE_BATH(TT_0011A);COBRA_CDZ_HR_1H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0111C_GRAND_TOTAL)
81 cadiz_c/wells/well_2;COBRA_CDZ_HR_3H,19,2,Close,COBRA_CDZ_HR_3H/Lineheater_1/TEMPERATURE_BATH(TT_0012A);COBRA_CDZ_HR_3H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0112C_GRAND_TOTAL)
81 cadiz_c/wells/well_3;COBRA_CDZ_HR_5H,19,2,Close,COBRA_CDZ_HR_5H/Lineheater_1/TEMPERATURE_BATH(TT_0013A);COBRA_CDZ_HR_5H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0113C_GRAND_TOTAL)
81 cadiz_c/wells/well_4;COBRA_CDZ_HR_7H,19,2,Close,COBRA_CDZ_HR_7H/Lineheater_1/TEMPERATURE_BATH(TT_0014A);COBRA_CDZ_HR_7H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0114C_GRAND_TOTAL)
81 cadiz_c/wells/well_5;COBRA_CDZ_HR_9H,18,3,Close,COBRA_CDZ_HR_9H/Lineheater_1/TEMPERATURE_BATH(TT_0015A);COBRA_CDZ_HR_9H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0115C_GRAND_TOTAL);COBRA_CDZ_HR_9H/WellIO_1/PRESSURE_CASING(PLUNGER5_FLOAT_02R)
81 cadiz_d/pad;DOMINO_CDZ_HR,115,10,Needs work,DOMINO_CDZ_HR_10H/Lineheater_1/TEMPERATURE_BATH(TT_0015A);DOMINO_CDZ_HR_10H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0115C_GRAND_TOTAL);DOMINO_CDZ_HR_2H-A/Lineheater_1/TEMPERATURE_BATH(TT_0011A);DOMINO_CDZ_HR_4H/Lineheater_1/TEMPERATURE_BATH(TT_0012A);DOMINO_CDZ_HR_4H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0112C_GRAND_TOTAL);DOMINO_CDZ_HR_6H/Lineheater_1/TEMPERATURE_BATH(TT_0013A);DOMINO_CDZ_HR_6H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0113C_GRAND_TOTAL);DOMINO_CDZ_HR_8H/Lineheater_1/TEMPERATURE_BATH(TT_0014A);DOMINO_CDZ_HR_8H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0114C_GRAND_TOTAL);DOMINO_CDZ_HR_2H-A/WellIO_1/COMMAND_ESD(SDY_0001A_CLOSE)
81 cadiz_d/wells/well_1;DOMINO_CDZ_HR_2H-A,21,2,Close,DOMINO_CDZ_HR_2H-A/Lineheater_1/TEMPERATURE_BATH(TT_0011A);DOMINO_CDZ_HR_2H-A/WellIO_1/COMMAND_ESD(SDY_0001A_CLOSE)
81 cadiz_d/wells/well_2;DOMINO_CDZ_HR_4H,21,2,Close,DOMINO_CDZ_HR_4H/Lineheater_1/TEMPERATURE_BATH(TT_0012A);DOMINO_CDZ_HR_4H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0112C_GRAND_TOTAL)
81 cadiz_d/wells/well_3;DOMINO_CDZ_HR_6H,21,2,Close,DOMINO_CDZ_HR_6H/Lineheater_1/TEMPERATURE_BATH(TT_0013A);DOMINO_CDZ_HR_6H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0113C_GRAND_TOTAL)
81 cadiz_d/wells/well_4;DOMINO_CDZ_HR_8H,21,2,Close,DOMINO_CDZ_HR_8H/Lineheater_1/TEMPERATURE_BATH(TT_0014A);DOMINO_CDZ_HR_8H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0114C_GRAND_TOTAL)
81 cadiz_d/wells/well_5;DOMINO_CDZ_HR_10H,21,2,Close,DOMINO_CDZ_HR_10H/Lineheater_1/TEMPERATURE_BATH(TT_0015A);DOMINO_CDZ_HR_10H/MeterGas_1/VOLUME_ACCUMULATED(FQT_0115C_GRAND_TOTAL)
81 carlos/pad;CARLOS_RCH_BL,78,9,Needs work,CARLOS_RCH_BL/Dehydrator_1/STATUS_LEVEL_HIGH_SEPARATOR(101.3:156);CARLOS_RCH_BL/Dehydrator_1/STATUS_LEVEL_OIL_LOW_SEPARATOR(101.3:159);CARLOS_RCH_BL/Dehydrator_1/STATUS_LEVEL_WATER_LOW_SEPARATOR(101.3:157);CARLOS_RCH_BL/MeterGas_1/BTU_FACTOR(0.0:0);CARLOS_RCH_BL/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);CARLOS_RCH_BL/MeterGas_1/VOLUME_ACCUMULATED(228.76:10);CARLOS_RCH_BL/MeterGas_1/VOLUME_CURRENT_MONTH(116.14:0);CARLOS_RCH_BL/MeterGas_1/VOLUME_PREVIOUS_MONTH(116.15:0);CARLOS_RCH_BL/Separator_1/PRESSURE(85.32:91)
81 carlos/wells/well_1;CARLOS_W_RCH_BL_1H,49,9,Needs work,CARLOS_W_RCH_BL_1H/FuelGas_1/PRESSURE_A(85.173:49);CARLOS_W_RCH_BL_1H/FuelGas_1/PRESSURE_B(85.220:49);CARLOS_W_RCH_BL_1H/MeterGas_1/SPECIFIC_GRAVITY(112.23:0);CARLOS_W_RCH_BL_1H/MeterWater_1/RATE_FLOW_DAILY(98.1:0);CARLOS_W_RCH_BL_1H/MeterWater_2/RATE_FLOW_DAILY(98.1:1);CARLOS_W_RCH_BL_1H/MeterGas_2/ENERGY_PREVIOUS_DAY(114.30:1);CARLOS_W_RCH_BL_1H/MeterGas_2/RATE_ENERGY_DAILY(114.1:1);CARLOS_W_RCH_BL_1H/MeterGas_2/SPECIFIC_GRAVITY(112.23:1);CARLOS_W_RCH_BL_1H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:0)
81 carlos/wells/well_2;CARLOS_E_RCH_BL_3H,44,14,Needs work,CARLOS_E_RCH_BL_3H/FuelGas_1/PRESSURE_A(85.173:50);CARLOS_E_RCH_BL_3H/FuelGas_1/PRESSURE_B(85.220:50);CARLOS_E_RCH_BL_3H/Lineheater_1/STATUS_BMS_PERMISSIVE(102.24:179);CARLOS_E_RCH_BL_3H/MeterGas_1/ENERGY_PREVIOUS_DAY(114.30:1);CARLOS_E_RCH_BL_3H/MeterGas_1/RATE_ENERGY_DAILY(114.1:1);CARLOS_E_RCH_BL_3H/MeterGas_1/SPECIFIC_GRAVITY(112.23:1);CARLOS_E_RCH_BL_3H/MeterWater_1/RATE_FLOW_DAILY(98.1:1);CARLOS_E_RCH_BL_3H/MeterGas_2/ENERGY_PREVIOUS_DAY(114.30:1);CARLOS_E_RCH_BL_3H/MeterGas_2/RATE_ENERGY_DAILY(114.1:1);CARLOS_E_RCH_BL_3H/MeterGas_2/SPECIFIC_GRAVITY(112.23:1);CARLOS_E_RCH_BL_3H/WellIO_1/PERCENTAGE_OUTPUT(74.21:1);CARLOS_E_RCH_BL_3H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:1);CARLOS_E_RCH_BL_3H/WellheadChoke/PERCENTAGE_OUTPUT(74.21:1);CARLOS_E_RCH_BL_3H/WellheadChoke_1/PERCENTAGE_OUTPUT(74.21:1)
81 caston/pad;CASTON_LND_GR,324,126,Needs work,CASTON_LND_GR/AirCompressor_1/HOURS_ON_PREVIOUS_DAY_B(71.12:42);CASTON_LND_GR/AirCompressor_1/HOURS_ON_TODAY_B(71.11:42);CASTON_LND_GR/AirCompressor_1/HOURS_ON_TOTAL_B(98.14:28);CASTON_LND_GR/Combustor_2/STATUS(101.3:117);CASTON_LND_GR/Combustor_2/TEMPERATURE(98.27:10);CASTON_LND_GR/HeaterTreater_2/FIRE_LOOP(101.3:38);CASTON_LND_GR/HeaterTreater_3/PRESSURE(85.32:26);CASTON_LND_GR/HeaterTreater_3/SEP_LSL(101.3:38);CASTON_LND_GR/Separator_1/PRESSURE(85.32:60);CASTON_LND_GR/TankOil_1/HAULED_CURRENT_DAY(196.43:0);CASTON_LND_GR/TankOil_1/HAULED_PREVIOUS_DAY(196.45:0);CASTON_LND_GR/TankOil_1/PRESSURE(85.126:114);CASTON_LND_GR/TankOil_1/PRODUCTION_CURRENT_DAY(196.39:0);CASTON_LND_GR/TankOil_1/PRODUCTION_PREVIOUS_DAY(196.41:0);CASTON_LND_GR/TankOil_1/TEMPERATURE(98.3:11);CASTON_LND_GR/TankOil_1/VOLUME_TOTAL(196.32:6);CASTON_LND_GR/TankOil_10/PRESSURE(85.126:123);CASTON_LND_GR/TankOil_10/TEMPERATURE(98.3:20);CASTON_LND_GR/TankOil_10/VOLUME_TOTAL(196.32:15);CASTON_LND_GR/TankOil_11/HAULED_CURRENT_DAY(196.43:0);CASTON_LND_GR/TankOil_11/HAULED_PREVIOUS_DAY(196.45:0);CASTON_LND_GR/TankOil_11/PRESSURE(85.126:114);CASTON_LND_GR/TankOil_11/PRODUCTION_CURRENT_DAY(196.39:0);CASTON_LND_GR/TankOil_11/PRODUCTION_PREVIOUS_DAY(196.41:0);CASTON_LND_GR/TankOil_11/TEMPERATURE(98.3:11);CASTON_LND_GR/TankOil_11/VOLUME_TOTAL(196.32:6);CASTON_LND_GR/TankOil_2/HAULED_CURRENT_DAY(196.43:1);CASTON_LND_GR/TankOil_2/HAULED_PREVIOUS_DAY(196.45:1);CASTON_LND_GR/TankOil_2/PRESSURE(85.126:115);CASTON_LND_GR/TankOil_2/PRODUCTION_CURRENT_DAY(196.39:1);CASTON_LND_GR/TankOil_2/PRODUCTION_PREVIOUS_DAY(196.41:1);CASTON_LND_GR/TankOil_2/TEMPERATURE(98.3:12);CASTON_LND_GR/TankOil_2/VOLUME_TOTAL(196.32:7);CASTON_LND_GR/TankOil_3/HAULED_CURRENT_DAY(196.43:2);CASTON_LND_GR/TankOil_3/HAULED_PREVIOUS_DAY(196.45:2);CASTON_LND_GR/TankOil_3/PRESSURE(85.126:116);CASTON_LND_GR/TankOil_3/PRODUCTION_CURRENT_DAY(196.39:2);CASTON_LND_GR/TankOil_3/PRODUCTION_PREVIOUS_DAY(196.41:2);CASTON_LND_GR/TankOil_3/TEMPERATURE(98.3:13);CASTON_LND_GR/TankOil_3/VOLUME_TOTAL(196.32:8);CASTON_LND_GR/TankOil_4/HAULED_CURRENT_DAY(196.43:3);CASTON_LND_GR/TankOil_4/HAULED_PREVIOUS_DAY(196.45:3);CASTON_LND_GR/TankOil_4/PRESSURE(85.126:117);CASTON_LND_GR/TankOil_4/PRODUCTION_CURRENT_DAY(196.39:3);CASTON_LND_GR/TankOil_4/PRODUCTION_PREVIOUS_DAY(196.41:3);CASTON_LND_GR/TankOil_4/TEMPERATURE(98.3:14);CASTON_LND_GR/TankOil_4/VOLUME_TOTAL(196.32:9);CASTON_LND_GR/TankOil_5/HAULED_CURRENT_DAY(196.43:4);CASTON_LND_GR/TankOil_5/HAULED_PREVIOUS_DAY(196.45:4);CASTON_LND_GR/TankOil_5/PRESSURE(85.126:118);CASTON_LND_GR/TankOil_5/PRODUCTION_CURRENT_DAY(196.39:4);CASTON_LND_GR/TankOil_5/PRODUCTION_PREVIOUS_DAY(196.41:4);CASTON_LND_GR/TankOil_5/TEMPERATURE(98.3:15);CASTON_LND_GR/TankOil_5/VOLUME_TOTAL(196.32:10);CASTON_LND_GR/TankOil_6/HAULED_CURRENT_DAY(196.43:5);CASTON_LND_GR/TankOil_6/HAULED_PREVIOUS_DAY(196.45:5);CASTON_LND_GR/TankOil_6/PRESSURE(85.126:119);CASTON_LND_GR/TankOil_6/PRODUCTION_PREVIOUS_DAY(196.41:5);CASTON_LND_GR/TankOil_6/TEMPERATURE(98.3:16);CASTON_LND_GR/TankOil_6/VOLUME_TOTAL(196.32:11);CASTON_LND_GR/TankOil_7/PRESSURE(85.126:120);CASTON_LND_GR/TankOil_7/TEMPERATURE(98.3:17);CASTON_LND_GR/TankOil_7/VOLUME_TOTAL(196.32:12);CASTON_LND_GR/TankOil_8/PRESSURE(85.126:121);CASTON_LND_GR/TankOil_8/TEMPERATURE(98.3:18);CASTON_LND_GR/TankOil_8/VOLUME_TOTAL(196.32:13);CASTON_LND_GR/TankOil_9/HAULED_CURRENT_DAY(196.43:0);CASTON_LND_GR/TankOil_9/HAULED_PREVIOUS_DAY(196.45:0);CASTON_LND_GR/TankOil_9/PRESSURE(85.126:114);CASTON_LND_GR/TankOil_9/PRODUCTION_CURRENT_DAY(196.39:0);CASTON_LND_GR/TankOil_9/PRODUCTION_PREVIOUS_DAY(196.41:0);CASTON_LND_GR/TankOil_9/TEMPERATURE(98.3:11);CASTON_LND_GR/TankOil_9/VOLUME_TOTAL(196.32:6);CASTON_LND_GR/TankOil_total/HAULED_CURRENT_DAY(196.43:0);CASTON_LND_GR/TankOil_total/HAULED_PREVIOUS_DAY(196.45:0);CASTON_LND_GR/TankOil_total/PRESSURE(85.126:114);CASTON_LND_GR/TankOil_total/PRODUCTION_CURRENT_DAY(196.39:0);CASTON_LND_GR/TankOil_total/PRODUCTION_PREVIOUS_DAY(196.41:0);CASTON_LND_GR/TankOil_total/TEMPERATURE(98.3:11);CASTON_LND_GR/TankOil_total/VOLUME_TOTAL(196.32:6);CASTON_LND_GR/TankWater_1/TEMPERATURE(98.3:20);CASTON_LND_GR/TankWater_1/VOLUME_TOTAL(196.32:0);CASTON_LND_GR/TankWater_2/TEMPERATURE(98.3:21);CASTON_LND_GR/TankWater_2/VOLUME_TOTAL(196.32:1);CASTON_LND_GR/TankWater_3/TEMPERATURE(98.3:22);CASTON_LND_GR/TankWater_3/VOLUME_TOTAL(196.32:2);CASTON_LND_GR_2H/MeterGas_1/BTU_FACTOR(0.0:0);CASTON_LND_GR_2H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR_2H/MeterGas_2/BTU_FACTOR(0.0:0);CASTON_LND_GR_2H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR_2H/MeterWater_1/PRESSURE_DP_CURRENT(98.15:4);CASTON_LND_GR_2H/MeterWater_1/PRESSURE_STATIC_CURRENT(98.14:4);CASTON_LND_GR_4H/MeterGas_1/BTU_FACTOR(0.0:0);CASTON_LND_GR_4H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR_4H/MeterGas_2/BTU_FACTOR(0.0:0);CASTON_LND_GR_4H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR_6H/MeterGas_1/BTU_FACTOR(0.0:0);CASTON_LND_GR_6H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR_6H/MeterGas_2/AVERAGE_PREVIOUS_DAY_PRESSURE_DP(126.6:9);CASTON_LND_GR_6H/MeterGas_2/AVERAGE_PREVIOUS_DAY_PRESSURE_STATIC(126.6:9);CASTON_LND_GR_6H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:9);CASTON_LND_GR_6H/MeterGas_2/BTU_FACTOR(0.0:0);CASTON_LND_GR_6H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR/Compressor_2/LEL_STATUS(101.3:59);CASTON_LND_GR/Compressor_2/PRESSURE_INTAKE(85.79:25);CASTON_LND_GR/Compressor_2/STATUS(101.3:58);CASTON_LND_GR/Compressor_4/LEL_STATUS(101.3:65);CASTON_LND_GR/Compressor_4/PRESSURE_INTAKE(85.32:26);CASTON_LND_GR/Compressor_4/STATUS(101.3:64);CASTON_LND_GR/MeterGas_2/BTU_FACTOR(0.0:0);CASTON_LND_GR/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR/MeterGas_3/BTU_FACTOR(0.0:0);CASTON_LND_GR/MeterGas_3/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR/PadIO_1/STATUS_BYPASS(71.43:30);CASTON_LND_GR/separator/PRESSURE(85.32:60);CASTON_LND_GR/virtual_1/BTU_FACTOR(0.0:0);CASTON_LND_GR/virtual_1/RATE_FLOW_DAILY(98.8:6);CASTON_LND_GR/virtual_1/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR/virtual_1/VOLUME_ACCUMULATED(98.5:6);CASTON_LND_GR/virtual_1/VOLUME_CURRENT_DAY(98.1:6);CASTON_LND_GR/virtual_1/VOLUME_CURRENT_MONTH(98.3:6);CASTON_LND_GR/virtual_1/VOLUME_PREVIOUS_DAY(98.2:6);CASTON_LND_GR/virtual_1/VOLUME_PREVIOUS_MONTH(98.4:6);CASTON_LND_GR_2H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:2);CASTON_LND_GR_4H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:1);CASTON_LND_GR_6H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:2)
81 caston/wells/well_1;CASTON_LND_GR_2H,45,7,Needs work,CASTON_LND_GR_2H/MeterGas_1/BTU_FACTOR(0.0:0);CASTON_LND_GR_2H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR_2H/MeterGas_2/BTU_FACTOR(0.0:0);CASTON_LND_GR_2H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR_2H/MeterWater_1/PRESSURE_DP_CURRENT(98.15:4);CASTON_LND_GR_2H/MeterWater_1/PRESSURE_STATIC_CURRENT(98.14:4);CASTON_LND_GR_2H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:2)
81 caston/wells/well_2;CASTON_LND_GR_4H,43,5,Needs work,CASTON_LND_GR_4H/MeterGas_1/BTU_FACTOR(0.0:0);CASTON_LND_GR_4H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR_4H/MeterGas_2/BTU_FACTOR(0.0:0);CASTON_LND_GR_4H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR_4H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:1)
81 caston/wells/well_3;CASTON_LND_GR_6H,38,8,Needs work,CASTON_LND_GR_6H/MeterGas_1/BTU_FACTOR(0.0:0);CASTON_LND_GR_6H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR_6H/MeterGas_2/AVERAGE_PREVIOUS_DAY_PRESSURE_DP(126.6:9);CASTON_LND_GR_6H/MeterGas_2/AVERAGE_PREVIOUS_DAY_PRESSURE_STATIC(126.6:9);CASTON_LND_GR_6H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:9);CASTON_LND_GR_6H/MeterGas_2/BTU_FACTOR(0.0:0);CASTON_LND_GR_6H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);CASTON_LND_GR_6H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:2)
81 caston/wells/well_5;CASTON_NW_LND_GR_1H,34,7,Needs work,CASTON_NW_LND_GR_1H/FuelGas_1/PRESSURE_B(85.220:41);CASTON_NW_LND_GR_1H/MeterGas_1/BTU_FACTOR(0.0:0);CASTON_NW_LND_GR_1H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);CASTON_NW_LND_GR_1H/MeterGas_2/BTU_FACTOR(0.0:0);CASTON_NW_LND_GR_1H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);CASTON_NW_LND_GR_1H/MeterWater_1/PRESSURE_DP_CURRENT(98.15:0);CASTON_NW_LND_GR_1H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:0)
81 caston/wells/well_6;CASTON_NW_LND_GR_3H,35,7,Needs work,CASTON_NW_LND_GR_3H/FuelGas_1/PRESSURE_B(85.220:43);CASTON_NW_LND_GR_3H/MeterGas_1/BTU_FACTOR(0.0:0);CASTON_NW_LND_GR_3H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);CASTON_NW_LND_GR_3H/MeterGas_2/BTU_FACTOR(0.0:0);CASTON_NW_LND_GR_3H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);CASTON_NW_LND_GR_3H/MeterWater_1/PRESSURE_DP_CURRENT(98.15:1);CASTON_NW_LND_GR_3H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:1)
81 caston/wells/well_7;CASTON_NE_LND_GR_5H,29,12,Needs work,CASTON_NE_LND_GR_5H/FuelGas_1/PRESSURE_B(85.220:49);CASTON_NE_LND_GR_5H/MeterGas_1/BTU_FACTOR(0.0:0);CASTON_NE_LND_GR_5H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);CASTON_NE_LND_GR_5H/MeterGas_2/BTU_FACTOR(0.0:0);CASTON_NE_LND_GR_5H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);CASTON_NE_LND_GR_5H/MeterOil_1/PRESSURE_DP_CURRENT(98.4:6);CASTON_NE_LND_GR_5H/MeterOil_1/PRESSURE_STATIC_CURRENT(98.3:6);CASTON_NE_LND_GR_5H/MeterOil_1/RATE_FLOW_DAILY(98.1:6);CASTON_NE_LND_GR_5H/MeterOil_1/VOLUME_CURRENT_DAY(197.87:6);CASTON_NE_LND_GR_5H/MeterOil_1/VOLUME_PREVIOUS_DAY(197.89:6);CASTON_NE_LND_GR_5H/MeterWater_1/PRESSURE_DP_CURRENT(98.15:2);CASTON_NE_LND_GR_5H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:2)
81 caston/wells/well_8;CASTON_NE_LND_GR_7H,29,12,Needs work,CASTON_NE_LND_GR_7H/FuelGas_1/PRESSURE_B(85.220:51);CASTON_NE_LND_GR_7H/MeterGas_1/BTU_FACTOR(0.0:0);CASTON_NE_LND_GR_7H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);CASTON_NE_LND_GR_7H/MeterGas_2/BTU_FACTOR(0.0:0);CASTON_NE_LND_GR_7H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);CASTON_NE_LND_GR_7H/MeterOil_1/PRESSURE_DP_CURRENT(98.4:7);CASTON_NE_LND_GR_7H/MeterOil_1/PRESSURE_STATIC_CURRENT(98.3:7);CASTON_NE_LND_GR_7H/MeterOil_1/RATE_FLOW_DAILY(98.1:7);CASTON_NE_LND_GR_7H/MeterOil_1/VOLUME_CURRENT_DAY(197.87:7);CASTON_NE_LND_GR_7H/MeterOil_1/VOLUME_PREVIOUS_DAY(197.89:7);CASTON_NE_LND_GR_7H/MeterWater_1/PRESSURE_DP_CURRENT(98.15:3);CASTON_NE_LND_GR_7H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:2)
81 cecelia/pad;CECELIA_WEL_JF,55,4,Close,CECELIA_WEL_JF/Combustor_1/PRESSURE(85.32:114);CECELIA_WEL_JF/MeterGas_1/VOLUME_ACCUMULATED(228.76:10);CECELIA_WEL_JF/MeterGas_1/VOLUME_CURRENT_MONTH(228.74:10);CECELIA_WEL_JF/MeterGas_1/VOLUME_PREVIOUS_MONTH(228.75:10)
81 cecelia/wells/well_1;CECELIA_SE_WEL_JF_8H,62,10,Needs work,CECELIA_SE_WEL_JF_8H/Lineheater_1/SETPOINT_BMS_LOW(98.19:23);CECELIA_SE_WEL_JF_8H/Lineheater_1/STATUS_BMS_PERMISSIVE(102.24:146);CECELIA_SE_WEL_JF_8H/Lineheater_1/TEMPERATURE_FLOWLINE(108.50:34);CECELIA_SE_WEL_JF_8H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);CECELIA_SE_WEL_JF_8H/WellIO_1/DENSITY(98.3:0);CECELIA_SE_WEL_JF_8H/WellIO_1/DRIVE_GAIN(98.4:0);CECELIA_SE_WEL_JF_8H/WellIO_1/RATE_COROLIS(98.1:0);CECELIA_SE_WEL_JF_8H/WellIO_1/TOTAL_ACCUMULATED(98.10:0);CECELIA_SE_WEL_JF_8H/WellIO_1/TOTAL_MONTH(98.8:0);CECELIA_SE_WEL_JF_8H/WellIO_1/TOTAL_PREVIOUS_MONTH(98.9:0)
81 cecelia/wells/well_2;CECELIA_SE_WEL_JF_6H,62,10,Needs work,CECELIA_SE_WEL_JF_6H/Lineheater_1/STATUS_BMS_PERMISSIVE(102.24:147);CECELIA_SE_WEL_JF_6H/Lineheater_1/TEMPERATURE_FLOWLINE(108.50:35);CECELIA_SE_WEL_JF_6H/MeterGas_1/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);CECELIA_SE_WEL_JF_6H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);CECELIA_SE_WEL_JF_6H/WellIO_1/DENSITY(98.3:1);CECELIA_SE_WEL_JF_6H/WellIO_1/DRIVE_GAIN(98.4:1);CECELIA_SE_WEL_JF_6H/WellIO_1/RATE_COROLIS(98.1:1);CECELIA_SE_WEL_JF_6H/WellIO_1/TOTAL_ACCUMULATED(98.10:1);CECELIA_SE_WEL_JF_6H/WellIO_1/TOTAL_MONTH(98.8:1);CECELIA_SE_WEL_JF_6H/WellIO_1/TOTAL_PREVIOUS_MONTH(98.9:1)
81 cecelia/wells/well_3;CECELIA_SW_WEL_JF_4H,61,11,Needs work,CECELIA_SW_WEL_JF_4H/Lineheater_1/STATUS_BMS_PERMISSIVE(102.24:148);CECELIA_SW_WEL_JF_4H/Lineheater_1/TEMPERATURE_FLOWLINE(108.50:36);CECELIA_SW_WEL_JF_4H/MeterGas_1/AVERAGE_PREVIOUS_DAY_PRESSURE_STATIC(126.6:4);CECELIA_SW_WEL_JF_4H/MeterGas_1/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:5);CECELIA_SW_WEL_JF_4H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);CECELIA_SW_WEL_JF_4H/WellIO_1/DENSITY(98.3:2);CECELIA_SW_WEL_JF_4H/WellIO_1/DRIVE_GAIN(98.4:2);CECELIA_SW_WEL_JF_4H/WellIO_1/RATE_COROLIS(98.1:2);CECELIA_SW_WEL_JF_4H/WellIO_1/TOTAL_ACCUMULATED(98.10:2);CECELIA_SW_WEL_JF_4H/WellIO_1/TOTAL_MONTH(98.8:2);CECELIA_SW_WEL_JF_4H/WellIO_1/TOTAL_PREVIOUS_MONTH(98.9:2)
81 cecelia/wells/well_4;CECELIA_SW_WEL_JF_2H,44,13,Needs work,CECELIA_SW_WEL_JF_2H/Lineheater_1/PRESSURE_FLOWLINE(103.21:68);CECELIA_SW_WEL_JF_2H/Lineheater_1/SETPOINT_BMS_HIGH(98.18:26);CECELIA_SW_WEL_JF_2H/Lineheater_1/SETPOINT_BMS_LOW(98.19:26);CECELIA_SW_WEL_JF_2H/Lineheater_1/STATUS_BMS_PERMISSIVE(102.24:149);CECELIA_SW_WEL_JF_2H/Lineheater_1/STATUS_BURNER(98.23:3);CECELIA_SW_WEL_JF_2H/Lineheater_1/TEMPERATURE_BATH(98.27:3);CECELIA_SW_WEL_JF_2H/Lineheater_1/TEMPERATURE_FLOWLINE(108.50:37);CECELIA_SW_WEL_JF_2H/MeterGas_1/AVERAGE_PREVIOUS_DAY_PRESSURE_DP(126.6:4);CECELIA_SW_WEL_JF_2H/MeterGas_1/AVERAGE_PREVIOUS_DAY_PRESSURE_STATIC(126.6:5);CECELIA_SW_WEL_JF_2H/MeterGas_1/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:6);CECELIA_SW_WEL_JF_2H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);CECELIA_SW_WEL_JF_2H/MeterWater_1/RATE_FLOW_DAILY(98.12:3);CECELIA_SW_WEL_JF_2H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:1)
